X,Y,id,initialdate,finaldate,area_ha,iso2,iso3,country,admlvl1,admlvl2,admlvl3,admlvl5,map_source,broadleaved_forest_percent,coniferous_forest_percent,mixed_forest_percent,sclerophillous_vegetation_percent,transitional_vegetation_percent,other_natural_percent,agriculture_percent,artificial_percent,other_percent,natura2k_percent,noneu,updated,area_code,eu_area
,,"210376",2022/09/03 12:59:00,2022/09/04 02:51:00+00,"11",DE,DEU,Deutschland,Sachsen-Anhalt,Sachsen-Anhalt,Harz,"Wernigerode, Stadt",sentinel,0,74.999999999375,0,0,0,24.9999999997917,0,0,0,100,"0",2022/09/14 09:15:33.655,EU,EU
,,"209577",2022/08/13 01:24:00,2022/08/13 03:04:00+00,"17",DE,DEU,Deutschland,Hessen,Gießen,Lahn-Dill-Kreis,"Haiger, Stadt",sentinel,0,68.7499999995703,0,0,0,31.2499999998047,0,0,0,100,"0",2022/08/23 12:44:15.607,EU,EU
,,"210541",2022/09/03 12:10:00,2022/09/03 12:59:00+00,"3",DE,DEU,Deutschland,Sachsen-Anhalt,Sachsen-Anhalt,Mansfeld-Südharz,Südharz,sentinel,74.999999998125,24.999999999375,0,0,0,0,0,0,0,100,"0",2022/09/19 07:20:35.919,EU,EU
,,"183864",2022/03/21 00:00:00,2022/03/21 00:00:00+00,"11",DE,DEU,Deutschland,Bayern,Oberpfalz,Neustadt a. d. Waldnaab,"Grafenwöhr, St",sentinel,0,0,0,0,99.9999999991667,0,0,0,0,100,"0",2022/10/20 12:25:43.384,EU,EU
,,"210872",2022/09/09 00:28:00,2022/09/11 00:39:00+00,"7",DE,DEU,Deutschland,Brandenburg,Brandenburg,Ostprignitz-Ruppin,"Neuruppin, Stadt",sentinel,0,85.7142857130612,0,0,0,0,14.2857142855102,0,0,0,"0",2022/09/29 09:59:13.133,EU,EU
,,"206680",2022/07/20 12:02:00,2022/07/20 12:02:00+00,"2",DE,DEU,Deutschland,Bayern,Oberpfalz,Neustadt a. d. Waldnaab,"Grafenwöhr, St",sentinel,0,0,0,0,99.999999995,0,0,0,0,100,"0",2022/10/20 12:25:43.384,EU,EU
,,"184237",2022/03/13 12:21:00,2022/03/23 12:34:00+00,"810",DE,DEU,Deutschland,Bayern,Oberpfalz,Neustadt a. d. Waldnaab,"Grafenwöhr, St",sentinel,5.65110565110496,0.614250614250539,7.00245700245614,0,86.7321867321761,0,0,0,0,100,"0",2022/10/20 12:36:47.889,EU,EU
,,"206679",2022/07/20 11:10:00,2022/07/20 12:02:00+00,"12",DE,DEU,Deutschland,Bayern,Oberpfalz,Neustadt a. d. Waldnaab,"Grafenwöhr, St",sentinel,0,0,0,0,99.9999999990909,0,0,0,0,100,"0",2022/10/20 12:36:47.889,EU,EU
,,"184261",2022/03/22 10:24:00,2022/03/22 12:53:00+00,"76",DE,DEU,Deutschland,Niedersachsen,Lüneburg,Heidekreis,"Munster, Stadt",sentinel,0,0,0,0,99.9999999998684,0,0,0,0,100,"0",2022/10/24 13:13:42.777,EU,EU
,,"192416",2022/03/07 00:00:00,2022/03/07 00:00:00+00,"15",DE,DEU,Deutschland,Niedersachsen,Lüneburg,Heidekreis,Wietzendorf,sentinel,0,0,0,0,99.9999999994118,0,0,0,0,100,"0",2022/10/27 13:52:12.468,EU,EU
,,"201941",2022/05/09 09:55:00,2022/05/09 12:04:00+00,"2",DE,DEU,Deutschland,Niedersachsen,Lüneburg,Heidekreis,Wietzendorf,sentinel,0,0,0,0,99.9999999966667,0,0,0,0,100,"0",2022/10/27 13:52:12.468,EU,EU
,,"203976",2022/06/22 10:19:00,2022/06/22 13:18:00+00,"59",DE,DEU,Deutschland,Sachsen-Anhalt,Sachsen-Anhalt,Jerichower Land,"Möckern, Stadt",sentinel,0,0,0,0,99.9999999998246,0,0,0,0,100,"0",2022/10/28 13:46:24.358,EU,EU
,,"209252",2022/08/11 02:02:00,2022/08/11 02:02:00+00,"23",DE,DEU,Deutschland,Hessen,Darmstadt,Darmstadt-Dieburg,Münster,sentinel,0,91.999999999632,0,0,0,7.999999999968,0,0,0,0,"0",2023/02/21 15:30:45.676,EU,EU
,,"208787",2022/07/25 20:34:00,2022/07/25 20:34:00+00,"148",DE,DEU,Deutschland,Sachsen,Dresden,Sächsische Schweiz-Osterzgebirge,"Bad Schandau, Stadt",sentinel,1.36986301369769,94.5205479451407,4.10958904109308,0,0,0,0,0,0,100,"0",2023/02/22 17:25:46.123,EU,EU
,,"216562",2023/06/09 12:27:00,2023/06/09 13:21:00+00,"8",DE,DEU,Deutschland,Brandenburg,Brandenburg,Teltow-Fläming,"Jüterbog, Stadt",sentinel,0,0,0,0,37.4999999995313,62.4999999992187,0,0,0,100,"0",2023/06/12 07:55:12.858,EU,EU
,,"216563",2023/06/01 01:00:00,2023/06/08 11:57:00+00,"616",DE,DEU,Deutschland,Brandenburg,Brandenburg,Teltow-Fläming,"Jüterbog, Stadt",sentinel,36.9951534733381,27.4636510500763,9.04684975767221,0,4.84652665589582,21.6478190630013,0,0,0,99.9999999999999,"0",2023/06/12 07:55:12.858,EU,EU
,,"216130",2023/05/03 12:21:00,2023/05/03 12:21:00+00,"5",DE,DEU,Deutschland,Niedersachsen,Lüneburg,"Lüneburg, Landkreis",Rehlingen,sentinel,0,0,0,0,99.999999998,0,0,0,0,100,"0",2023/05/05 07:02:04.491,EU,EU
,,"216131",2023/05/03 12:21:00,2023/05/03 12:21:00+00,"3",DE,DEU,Deutschland,Niedersachsen,Lüneburg,"Lüneburg, Landkreis",Rehlingen,sentinel,0,0,0,0,99.9999999966667,0,0,0,0,100,"0",2023/05/05 07:02:41.608,EU,EU
,,"216132",2023/05/03 12:21:00,2023/05/03 12:21:00+00,"4",DE,DEU,Deutschland,Niedersachsen,Lüneburg,"Lüneburg, Landkreis",Rehlingen,sentinel,0,0,0,0,99.9999999966667,0,0,0,0,100,"0",2023/05/05 07:02:41.608,EU,EU
,,"217107",2023/06/13 11:13:00,2023/06/13 12:04:00+00,"2",DE,DEU,Deutschland,Brandenburg,Brandenburg,Havelland,Milower Land,sentinel,0,0,0,0,99.9999999966667,0,0,0,0,100,"0",2023/07/17 08:55:05.407,EU,EU
,,"216364",2023/05/17 11:19:00,2023/05/17 12:59:00+00,"21",DE,DEU,Deutschland,Sachsen-Anhalt,Sachsen-Anhalt,Altmarkkreis Salzwedel,"Gardelegen, Hansestadt",sentinel,0,0,0,0,99.9999999995,0,0,0,0,100,"0",2023/05/24 08:35:02.720,EU,EU
,,"216365",2023/05/17 11:19:00,2023/05/17 12:12:00+00,"2",DE,DEU,Deutschland,Sachsen-Anhalt,Sachsen-Anhalt,Altmarkkreis Salzwedel,"Gardelegen, Hansestadt",sentinel,0,0,0,0,99.999999995,0,0,0,0,100,"0",2023/05/24 08:35:02.720,EU,EU
,,"216536",2023/06/06 12:36:00,2023/06/06 12:36:00+00,"7",DE,DEU,Deutschland,Niedersachsen,Lüneburg,Heidekreis,Wietzendorf,sentinel,0,14.2857142855102,0,0,85.7142857130612,0,0,0,0,100,"0",2023/06/09 07:27:09.759,EU,EU
,,"216537",2023/06/06 12:36:00,2023/06/06 12:36:00+00,"6",DE,DEU,Deutschland,Niedersachsen,Lüneburg,Heidekreis,Wietzendorf,sentinel,0,16.6666666663889,0,0,83.3333333319444,0,0,0,0,100,"0",2023/06/09 07:27:09.759,EU,EU
,,"216538",2023/06/01 12:29:00,2023/06/01 12:29:00+00,"4",DE,DEU,Deutschland,Sachsen-Anhalt,Sachsen-Anhalt,Altmarkkreis Salzwedel,"Gardelegen, Hansestadt",sentinel,0,0,0,0,99.9999999966667,0,0,0,0,100,"0",2023/06/09 07:27:50.249,EU,EU
,,"216170",2023/04/22 11:40:00,2023/04/22 11:40:00+00,"2",DE,DEU,Deutschland,Niedersachsen,Lüneburg,Heidekreis,"Osterheide, gemfr. Bezirk",sentinel,0,0,0,0,99.99999999,0,0,0,0,100,"0",2023/05/10 09:34:20.311,EU,EU
,,"216171",2023/05/03 12:21:00,2023/05/03 12:21:00+00,"2",DE,DEU,Deutschland,Niedersachsen,Lüneburg,Heidekreis,"Munster, Stadt",sentinel,0,0,0,0,99.999999995,0,0,0,0,100,"0",2023/05/10 09:34:20.311,EU,EU
,,"216172",2023/05/03 12:21:00,2023/05/03 12:21:00+00,"1",DE,DEU,Deutschland,Niedersachsen,Lüneburg,Heidekreis,"Munster, Stadt",sentinel,0,0,0,0,99.99999999,0,0,0,0,100,"0",2023/05/10 09:34:20.311,EU,EU
,,"216355",2023/05/09 11:08:00,2023/05/09 11:21:00+00,"5",DE,DEU,Deutschland,Niedersachsen,Lüneburg,"Lüneburg, Landkreis",Wendisch Evern,sentinel,0,0,0,0,99.999999998,0,0,0,0,0,"0",2023/05/23 07:49:05.939,EU,EU
,,"216363",2023/05/17 10:04:00,2023/05/17 10:32:00+00,"5",DE,DEU,Deutschland,Sachsen-Anhalt,Sachsen-Anhalt,Altmarkkreis Salzwedel,"Gardelegen, Hansestadt",sentinel,0,0,0,0,99.9999999985714,0,0,0,0,100,"0",2023/05/24 08:35:02.720,EU,EU
,,"216637",2023/06/13 01:24:00,2023/06/13 02:15:00+00,"1",DE,DEU,Deutschland,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Ludwigslust-Parchim,Greven,sentinel,,,,,,,,,,0,"0",2023/06/15 08:36:26.279,EU,EU
,,"216617",2023/06/12 13:14:00,2023/06/13 02:15:00+00,"8",DE,DEU,Deutschland,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Ludwigslust-Parchim,"Hagenow, Stadt",sentinel,0,66.6666666659259,33.333333332963,0,0,0,0,0,0,100,"0",2023/06/15 08:36:26.279,EU,EU
,,"216472",2023/05/17 00:00:00,2023/05/17 00:00:00+00,"29",DE,DEU,Deutschland,Sachsen-Anhalt,Sachsen-Anhalt,Altmarkkreis Salzwedel,"Gardelegen, Hansestadt",sentinel,0,0,0,0,99.9999999996154,0,0,0,0,100,"0",2023/06/06 07:18:04.653,EU,EU
,,"216473",2023/05/17 00:00:00,2023/05/17 00:00:00+00,"3",DE,DEU,Deutschland,Sachsen-Anhalt,Sachsen-Anhalt,Altmarkkreis Salzwedel,"Gardelegen, Hansestadt",sentinel,0,0,0,0,99.999999995,0,0,0,0,100,"0",2023/06/06 07:18:32.317,EU,EU
,,"216475",2023/06/01 10:26:00,2023/06/01 10:26:00+00,"15",DE,DEU,Deutschland,Sachsen-Anhalt,Sachsen-Anhalt,Stendal,Klietz,sentinel,0,0,0,0,99.9999999994118,0,0,0,0,100,"0",2023/06/06 07:27:42.302,EU,EU
,,"216639",2023/06/12 12:21:00,2023/06/13 01:26:00+00,"3",DE,DEU,Deutschland,Hessen,Darmstadt,Hochtaunuskreis,"Kronberg im Taunus, Stadt",sentinel,0,99.99999999,0,0,0,0,0,0,0,100,"0",2023/06/15 14:35:35.459,EU,EU
,,"216534",2023/06/06 10:06:00,2023/06/08 12:46:00+00,"32",DE,DEU,Deutschland,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Landkreis Rostock,Dummerstorf,sentinel,0,0,82.3529411762284,0,17.6470588234775,0,0,0,0,0,"0",2023/06/09 08:34:22.013,EU,EU
,,"216603",2023/06/12 12:23:00,2023/06/13 12:53:00+00,"103",DE,DEU,Deutschland,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Ludwigslust-Parchim,"Lübtheen, Stadt",sentinel,0,99.9999999999038,0,0,0,0,0,0,0,100,"0",2023/06/19 08:28:04.069,EU,EU
,,"216724",2023/06/13 00:35:00,2023/06/13 02:15:00+00,"2",DE,DEU,Deutschland,Brandenburg,Brandenburg,Ostprignitz-Ruppin,"Rheinsberg, Stadt",sentinel,0,99.999999995,0,0,0,0,0,0,0,100,"0",2023/06/20 08:39:02.124,EU,EU
,,"216968",2023/06/27 11:02:00,2023/06/27 11:51:00+00,"100",DE,DEU,Deutschland,Sachsen,Dresden,Meißen,Zeithain,sentinel,0,0,2.88461538461261,0,97.1153846152912,0,0,0,0,100,"0",2023/07/11 08:25:57.988,EU,EU
,,"217019",2023/07/08 11:45:00,2023/07/08 11:45:00+00,"49",DE,DEU,Deutschland,Bayern,Oberpfalz,Neustadt a. d. Waldnaab,"Grafenwöhr, St",sentinel,0,2.12765957446356,0,0,97.8723404253237,0,0,0,0,100,"0",2023/07/12 09:02:58.581,EU,EU
,,"217046",2023/07/11 12:29:00,2023/07/11 12:29:00+00,"7",DE,DEU,Deutschland,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Vorpommern-Greifswald,"Eggesin, Stadt",sentinel,0,0,0,0,99.999999998,0,0,0,0,99.9999999999999,"0",2023/07/13 08:31:09.403,EU,EU
,,"217047",2023/07/11 12:29:00,2023/07/11 12:29:00+00,"5",DE,DEU,Deutschland,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Vorpommern-Greifswald,"Eggesin, Stadt",sentinel,0,0,0,0,99.999999998,0,0,0,0,100,"0",2023/07/13 08:31:09.403,EU,EU
,,"217174",2023/07/10 01:20:00,2023/07/11 01:52:00+00,"6",DE,DEU,Deutschland,Hessen,Darmstadt,Wetteraukreis,"Butzbach, Friedrich-Ludwig-Weidig-Stadt",sentinel,0,99.9999999985714,0,0,0,0,0,0,0,0,"0",2023/07/18 07:44:27.081,EU,EU
,,"217231",2023/07/15 12:04:00,2023/07/15 12:04:00+00,"1",DE,DEU,Deutschland,Sachsen-Anhalt,Sachsen-Anhalt,Wittenberg,"Gräfenhainichen, Stadt",sentinel,0,99.99999999,0,0,0,0,0,0,0,0,"0",2023/07/19 08:54:37.622,EU,EU
,,"217481",2023/07/17 11:25:00,2023/07/17 12:17:00+00,"5",DE,DEU,Deutschland,Brandenburg,Brandenburg,Dahme-Spreewald,Halbe,sentinel,0,99.9999999983333,0,0,0,0,0,0,0,0,"0",2023/07/25 09:59:59.870,EU,EU
,,"218337",2023/07/08 00:16:00,2023/07/08 01:56:00+00,"0",DE,DEU,Deutschland,Niedersachsen,Braunschweig,Göttingen,"Bad Sachsa, Stadt",sentinel,0,99.99999999,0,0,0,0,0,0,0,0,"0",2023/08/08 18:13:14.809,EU,EU
,,"218547",2023/07/08 00:00:00,2023/07/08 00:00:00+00,"20",DE,DEU,Deutschland,Bayern,Oberpfalz,Neustadt a. d. Waldnaab,"Grafenwöhr, St",sentinel,0,0,14.999999999925,0,84.999999999575,0,0,0,0,100,"0",2023/08/14 10:00:05.276,EU,EU
,,"220320",2023/09/07 12:42:00,2023/09/07 13:12:00+00,"34",DE,DEU,Deutschland,Sachsen-Anhalt,Sachsen-Anhalt,Jerichower Land,"Möckern, Stadt",sentinel,0,0,0,0,99.9999999997059,0,0,0,0,99.9999999999999,"0",2023/09/12 08:26:30.067,EU,EU
,,"219312",2023/08/23 12:21:00,2023/08/23 12:34:00+00,"14",DE,DEU,Deutschland,Sachsen-Anhalt,Sachsen-Anhalt,Stendal,Schollene,sentinel,0,0,0,0,99.9999999992857,0,0,0,0,100,"0",2023/08/28 12:52:47.428,EU,EU
,,"220398",2023/09/06 11:19:00,2023/09/06 13:01:00+00,"16",DE,DEU,Deutschland,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Ludwigslust-Parchim,Ganzlin,sentinel,0,87.4999999994531,0,0,0,0,12.4999999999219,0,0,100,"0",2023/09/13 07:49:59.317,EU,EU
,,"222474",2023/09/28 11:57:00,2023/09/28 13:04:00+00,"41",DE,DEU,Deutschland,Sachsen-Anhalt,Sachsen-Anhalt,Stendal,Klietz,sentinel,0,0,0,0,99.9999999997436,0,0,0,0,100,"0",2023/10/10 11:53:12.217,EU,EU
,,"222210",2023/09/24 00:03:00,2023/09/24 01:43:00+00,"7",DE,DEU,Deutschland,Sachsen-Anhalt,Sachsen-Anhalt,Saalekreis,"Leuna, Stadt",sentinel,0,0,0,0,0,99.99999999875,0,0,0,0,"0",2023/10/06 07:05:25.187,EU,EU
,,"226531",2024/03/06 11:57:00,2024/03/06 12:48:00+00,"10",DE,DEU,Deutschland,Sachsen-Anhalt,Sachsen-Anhalt,Altmarkkreis Salzwedel,"Gardelegen, Hansestadt",sentinel,99.9999999990909,0,0,0,0,0,0,0,0,100,"0",2024/03/07 10:23:51.580,EU,EU
,,"226662",2024/02/29 11:19:00,2024/02/29 13:03:00+00,"147",DE,DEU,Deutschland,Thüringen,Thüringen,Gotha,Wölfis,sentinel,0,0,0,0,99.9999999999315,0,0,0,0,100,"0",2024/03/11 07:40:34.706,EU,EU
,,"226681",2024/03/04 11:44:00,2024/03/04 11:44:00+00,"23",DE,DEU,Deutschland,Bayern,Oberpfalz,Neustadt a. d. Waldnaab,"Grafenwöhr, St",sentinel,0,0,0,0,99.9999999995833,0,0,0,0,100,"0",2024/03/11 09:06:00.004,EU,EU
,,"226682",2024/03/09 11:51:00,2024/03/09 11:51:00+00,"2",DE,DEU,Deutschland,Bayern,Oberpfalz,Neustadt a. d. Waldnaab,"Grafenwöhr, St",sentinel,0,0,0,0,99.999999995,0,0,0,0,100,"0",2024/03/11 09:07:07.321,EU,EU
,,"226683",2024/03/09 11:51:00,2024/03/09 11:51:00+00,"15",DE,DEU,Deutschland,Bayern,Oberpfalz,Neustadt a. d. Waldnaab,"Grafenwöhr, St",sentinel,0,0,0,0,99.9999999993333,0,0,0,0,100,"0",2024/03/11 09:08:11.639,EU,EU
,,"227545",2024/03/08 12:01:00,2024/03/08 12:01:00+00,"75",DE,DEU,Deutschland,Brandenburg,Brandenburg,Ostprignitz-Ruppin,"Wittstock/Dosse, Stadt",sentinel,0,0,0,0,94.7368421051385,5.26315789472992,0,0,0,100,"0",2024/03/27 13:56:07.207,EU,EU
,,"227546",2024/03/08 12:01:00,2024/03/08 12:01:00+00,"58",DE,DEU,Deutschland,Brandenburg,Brandenburg,Ostprignitz-Ruppin,"Wittstock/Dosse, Stadt",sentinel,0,0,0,0,65.5172413791974,34.4827586206302,0,0,0,100,"0",2024/03/27 13:56:40.676,EU,EU
,,"227547",2024/03/09 11:51:00,2024/03/09 11:51:00+00,"18",DE,DEU,Deutschland,Brandenburg,Brandenburg,Ostprignitz-Ruppin,"Wittstock/Dosse, Stadt",sentinel,0,0,0,0,99.9999999994445,0,0,0,0,100,"0",2024/03/27 13:57:16.167,EU,EU
,,"227548",2024/03/09 11:51:00,2024/03/09 11:51:00+00,"16",DE,DEU,Deutschland,Brandenburg,Brandenburg,Ostprignitz-Ruppin,"Wittstock/Dosse, Stadt",sentinel,0,99.9999999993333,0,0,0,0,0,0,0,100,"0",2024/03/27 13:57:35.522,EU,EU
,,"229950",2024/04/30 11:25:00,2024/04/30 11:25:00+00,"2",DE,DEU,Deutschland,Sachsen,Dresden,Görlitz,Krauschwitz,sentinel,0,0,0,0,99.999999995,0,0,0,0,100,"0",2024/05/03 11:54:14.081,EU,EU
,,"230261",2024/04/30 11:25:00,2024/04/30 11:25:00+00,"2",DE,DEU,Deutschland,Sachsen,Dresden,Görlitz,Krauschwitz,sentinel,0,24.999999999375,0,0,74.999999998125,0,0,0,0,100,"0",2024/05/15 09:23:23.839,EU,EU
,,"230848",2024/05/02 10:49:00,2024/05/02 12:29:00+00,"11",DE,DEU,Deutschland,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Vorpommern-Greifswald,"Eggesin, Stadt",sentinel,0,18.1818181816529,0,0,81.818181817438,0,0,0,0,100,"0",2024/05/29 15:16:04.083,EU,EU
,,"231288",2024/05/16 08:45:00,2024/05/16 08:45:00+00,"4",DE,DEU,Deutschland,Sachsen-Anhalt,Sachsen-Anhalt,Stendal,Schollene,sentinel,0,0,0,0,99.9999999975,0,0,0,0,100,"0",2024/06/10 14:05:49.300,EU,EU
,,"231289",2024/06/07 11:13:00,2024/06/07 11:38:00+00,"11",DE,DEU,Deutschland,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Vorpommern-Greifswald,"Eggesin, Stadt",sentinel,0,0,0,0,99.9999999988889,0,0,0,0,100,"0",2024/06/10 14:11:05.919,EU,EU
,,"231290",2024/06/07 11:13:00,2024/06/08 09:28:00+00,"5",DE,DEU,Deutschland,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Vorpommern-Greifswald,"Eggesin, Stadt",sentinel,0,0,0,0,99.9999999975,0,0,0,0,100,"0",2024/06/10 14:12:28.234,EU,EU
,,"231291",2024/06/07 11:13:00,2024/06/07 11:38:00+00,"2",DE,DEU,Deutschland,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Vorpommern-Greifswald,"Eggesin, Stadt",sentinel,0,0,0,0,99.999999995,0,0,0,0,100,"0",2024/06/10 14:13:24.924,EU,EU
